"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"PTP3" "MATCH" "1" "PTP3" "S. cerevisiae" "Protein Tyrosine Phosphatase" "2787" "YER075C" "S000000877" "ORF"
"RAD5" "MATCH" "1" "RAD5" "S. cerevisiae" "RADiation sensitive" "3510" "YLR032W" "S000004022" "ORF"
"RAD6" "MATCH" "1" "RAD6" "S. cerevisiae" "RADiation sensitive" "519" "YGL058W" "S000003026" "ORF"
"CST6" "MATCH" "1" "CST6" "S. cerevisiae" "Chromosome STability" "1764" "YIL036W" "S000001298" "ORF"
"PPH3" "MATCH" "1" "PPH3" "S. cerevisiae" "Protein PHosphatase" "927" "YDR075W" "S000002482" "ORF"
"SWM1" "MATCH" "1" "SWM1" "S. cerevisiae" "Spore Wall Maturation" "513" "YDR260C" "S000002668" "ORF"
"SLX5" "MATCH" "1" "SLX5" "S. cerevisiae" "Synthetic Lethal of unknown [X] function" "1860" "YDL013W" "S000002171" "ORF"
"SIR2" "MATCH" "1" "SIR2" "S. cerevisiae" "Silent Information Regulator" "1689" "YDL042C" "S000002200" "ORF"
"SIR3" "MATCH" "1" "SIR3" "S. cerevisiae" "Silent Information Regulator" "2937" "YLR442C" "S000004434" "ORF"
"RTT106" "MATCH" "1" "RTT106" "S. cerevisiae" "Regulator of Ty1 Transposition" "1368" "YNL206C" "S000005150" "ORF"
"RTT107" "MATCH" "1" "RTT107" "S. cerevisiae" "Regulator of Ty1 Transposition" "3213" "YHR154W" "S000001197" "ORF"
"SIR1" "MATCH" "1" "SIR1" "S. cerevisiae" "Silent Information Regulator" "1965" "YKR101W" "S000001809" "ORF"
"RPB9" "MATCH" "1" "RPB9" "S. cerevisiae" "RNA Polymerase B" "369" "YGL070C" "S000003038" "ORF"
"ARX1" "MATCH" "1" "ARX1" "S. cerevisiae" "Associated with Ribosomal eXport complex" "1782" "YDR101C" "S000002508" "ORF"
"SAP155" "MATCH" "1" "SAP155" "S. cerevisiae" "Sit4 Associated Protein" "3009" "YFR040W" "S000001936" "ORF"
"RTT103" "MATCH" "1" "RTT103" "S. cerevisiae" "Regulator of Ty1 Transposition" "1230" "YDR289C" "S000002697" "ORF"
"ELA1" "MATCH" "1" "ELA1" "S. cerevisiae" "ELongin A" "1140" "YNL230C" "S000005174" "ORF"
"IRA2" "MATCH" "1" "IRA2" "S. cerevisiae" "Inhibitory Regulator of the RAS-cAMP pathway" "9240" "YOL081W" "S000005441" "ORF"
"IRA1" "MATCH" "1" "IRA1" "S. cerevisiae" "Inhibitory Regulator of the RAS-cAMP pathway" "9279" "YBR140C" "S000000344" "ORF"
"RTT109" "MATCH" "1" "RTT109" "S. cerevisiae" "Regulator of Ty1 Transposition" "1311" "YLL002W" "S000003925" "ORF"
"SLX9" "MATCH" "1" "SLX9" "S. cerevisiae" "" "633" "YGR081C" "S000003313" "ORF"
"SFL1" "MATCH" "1" "SFL1" "S. cerevisiae" "Suppressor gene for FLocculation" "2301" "YOR140W" "S000005666" "ORF"
"SIR4" "MATCH" "1" "SIR4" "S. cerevisiae" "Silent Information Regulator" "4077" "YDR227W" "S000002635" "ORF"
"SLX8" "MATCH" "1" "SLX8" "S. cerevisiae" "Synthetic Lethal of unknown (X) function" "825" "YER116C" "S000000918" "ORF"
"MRT4" "MATCH" "1" "MRT4" "S. cerevisiae" "mRNA Turnover 4" "711" "YKL009W" "S000001492" "ORF"
"CAR2" "MATCH" "1" "CAR2" "S. cerevisiae" "Catabolism of ARginine" "1275" "YLR438W" "S000004430" "ORF"
"DCS1" "MATCH" "1" "DCS1" "S. cerevisiae" "DeCapping Scavenger" "1053" "YLR270W" "S000004260" "ORF"
"UFD4" "MATCH" "1" "UFD4" "S. cerevisiae" "Ubiquitin Fusion Degradation protein" "4452" "YKL010C" "S000001493" "ORF"
"BCY1" "MATCH" "1" "BCY1" "S. cerevisiae" "Bypass of CYclic-AMP requirement" "1251" "YIL033C" "S000001295" "ORF"
"PEX10" "MATCH" "1" "PEX10" "S. cerevisiae" "PEroXin" "1014" "YDR265W" "S000002673" "ORF"
"YHR033W" "MATCH" "1" "" "S. cerevisiae" "" "1272" "YHR033W" "S000001075" "ORF"
"PEX12" "MATCH" "1" "PEX12" "S. cerevisiae" "PEroXin" "1200" "YMR026C" "S000004628" "ORF"
"PPG1" "MATCH" "1" "PPG1" "S. cerevisiae" "Protein Phosphatase involved in Glycogen accumulation" "1107" "YNR032W" "S000005315" "ORF"
"RGP1" "MATCH" "1" "RGP1" "S. cerevisiae" "Reduced Growth Phenotype" "1992" "YDR137W" "S000002544" "ORF"
"HSE1" "MATCH" "1" "HSE1" "S. cerevisiae" "Has Symptoms of class E mutants; resembles Hbp, Stam and East" "1359" "YHL002W" "S000000994" "ORF"
"RAD1" "MATCH" "1" "RAD1" "S. cerevisiae" "RADiation sensitive" "3303" "YPL022W" "S000005943" "ORF"
"DBP3" "MATCH" "1" "DBP3" "S. cerevisiae" "Dead Box Protein" "1572" "YGL078C" "S000003046" "ORF"
"DBR1" "MATCH" "1" "DBR1" "S. cerevisiae" "DeBRanching" "1218" "YKL149C" "S000001632" "ORF"
"RXT2" "MATCH" "1" "RXT2" "S. cerevisiae" "" "1293" "YBR095C" "S000000299" "ORF"
"RXT3" "MATCH" "1" "RXT3" "S. cerevisiae" "" "885" "YDL076C" "S000002234" "ORF"
"NUP188" "MATCH" "1" "NUP188" "S. cerevisiae" "NUclear Pore" "4968" "YML103C" "S000004571" "ORF"
"USA1" "MATCH" "1" "USA1" "S. cerevisiae" "U1-Snp1 Associating" "2517" "YML029W" "S000004491" "ORF"
"RPD3" "MATCH" "1" "RPD3" "S. cerevisiae" "Reduced Potassium Dependency" "1302" "YNL330C" "S000005274" "ORF"
"DST1" "MATCH" "1" "DST1" "S. cerevisiae" "DNA Strand Transfer" "930" "YGL043W" "S000003011" "ORF"
"MGA2" "MATCH" "1" "MGA2" "S. cerevisiae" "Multicopy suppressor of GAm1 (snf2)" "3342" "YIR033W" "S000001472" "ORF"
"SIT4" "MATCH" "1" "SIT4" "S. cerevisiae" "Suppressor of Initiation of Transcription" "936" "YDL047W" "S000002205" "ORF"
"ELC1" "MATCH" "1" "ELC1" "S. cerevisiae" "ELongin C" "300" "YPL046C" "S000005967" "ORF"
"IRC3" "MATCH" "1" "IRC3" "S. cerevisiae" "Increased Recombination Centers" "2070" "YDR332W" "S000002740" "ORF"
"SHR5" "MATCH" "1" "SHR5" "S. cerevisiae" "Suppressor of Hyperactive Ras" "714" "YOL110W" "S000005470" "ORF"
"RPA49" "MATCH" "1" "RPA49" "S. cerevisiae" "RNA Polymerase A" "1248" "YNL248C" "S000005192" "ORF"
"LOS1" "MATCH" "1" "LOS1" "S. cerevisiae" "Loss Of Suppression" "3303" "YKL205W" "S000001688" "ORF"
"HFM1" "MATCH" "1" "HFM1" "S. cerevisiae" "Helicase Family Member" "3716" "YGL251C" "S000003220" "ORF"
"YKR023W" "MATCH" "1" "RQT4" "S. cerevisiae" "Ribosome-Quality control Trigger factor" "1593" "YKR023W" "S000001731" "ORF"
"PUS1" "MATCH" "1" "PUS1" "S. cerevisiae" "PseudoUridine Synthase" "1635" "YPL212C" "S000006133" "ORF"
"CHA4" "MATCH" "1" "CHA4" "S. cerevisiae" "Catabolism of Hydroxy Amino acids" "1947" "YLR098C" "S000004088" "ORF"
"STE50" "MATCH" "1" "STE50" "S. cerevisiae" "STErile" "1041" "YCL032W" "S000000537" "ORF"
"TRM10" "MATCH" "1" "TRM10" "S. cerevisiae" "Transfer RNA Methyltransferase" "882" "YOL093W" "S000005453" "ORF"
"PUS7" "MATCH" "1" "PUS7" "S. cerevisiae" "PseudoUridine Synthase" "2031" "YOR243C" "S000005769" "ORF"
"POG1" "MATCH" "1" "POG1" "S. cerevisiae" "Promoter Of Growth" "1056" "YIL122W" "S000001384" "ORF"
"DSS1" "MATCH" "1" "DSS1" "S. cerevisiae" "Deletion of SUV3 Supressor" "2910" "YMR287C" "S000004900" "ORF"
"NUP170" "MATCH" "1" "NUP170" "S. cerevisiae" "NUclear Pore" "4509" "YBL079W" "S000000175" "ORF"
"SSF1" "MATCH" "1" "SSF1" "S. cerevisiae" "Suppressor of ste4 (Four)" "1362" "YHR066W" "S000001108" "ORF"
"CMK2" "MATCH" "1" "CMK2" "S. cerevisiae" "CalModulin dependent protein Kinase" "1344" "YOL016C" "S000005376" "ORF"
"PUS9" "MATCH" "1" "PUS9" "S. cerevisiae" "PseudoUridine Synthase" "1389" "YDL036C" "S000002194" "ORF"
"CMK1" "MATCH" "1" "CMK1" "S. cerevisiae" "CalModulin dependent protein Kinase" "1341" "YFR014C" "S000001910" "ORF"
"PDR3" "MATCH" "1" "PDR3" "S. cerevisiae" "Pleiotropic Drug Resistance" "2931" "YBL005W" "S000000101" "ORF"
"YBR028C" "MATCH" "1" "YPK3" "S. cerevisiae" "" "1578" "YBR028C" "S000000232" "ORF"
"SIS2" "MATCH" "1" "SIS2" "S. cerevisiae" "SIt4 Suppressor" "1689" "YKR072C" "S000001780" "ORF"
"SAC3" "MATCH" "1" "SAC3" "S. cerevisiae" "Suppressor of ACtin" "3906" "YDR159W" "S000002566" "ORF"
"SAC1" "MATCH" "1" "SAC1" "S. cerevisiae" "Suppressor of ACtin" "1872" "YKL212W" "S000001695" "ORF"
"MKK2" "MATCH" "1" "MKK2" "S. cerevisiae" "Mitogen-activated Kinase Kinase" "1521" "YPL140C" "S000006061" "ORF"
"SUM1" "MATCH" "1" "SUM1" "S. cerevisiae" "SUppresor of Mar1-1" "3189" "YDR310C" "S000002718" "ORF"
"MIG1" "MATCH" "1" "MIG1" "S. cerevisiae" "Multicopy Inhibitor of GAL gene expression" "1515" "YGL035C" "S000003003" "ORF"
"NOP6" "MATCH" "1" "NOP6" "S. cerevisiae" "NucleOlar Protein" "678" "YDL213C" "S000002372" "ORF"
"KKQ8" "MATCH" "1" "KKQ8" "S. cerevisiae" "" "2175" "YKL168C" "S000001651" "ORF"
"NPR2" "MATCH" "1" "NPR2" "S. cerevisiae" "Nitrogen Permease Regulator" "1848" "YEL062W" "S000000788" "ORF"
"RPN10" "MATCH" "1" "RPN10" "S. cerevisiae" "Regulatory Particle Non-ATPase" "807" "YHR200W" "S000001243" "ORF"
"PSR1" "MATCH" "1" "PSR1" "S. cerevisiae" "Plasma membrane Sodium Response" "1284" "YLL010C" "S000003933" "ORF"
"UBA4" "MATCH" "1" "UBA4" "S. cerevisiae" "UBiquitin-Activating" "1323" "YHR111W" "S000001153" "ORF"
"CPR6" "MATCH" "1" "CPR6" "S. cerevisiae" "Cyclosporin-sensitive Proline Rotamase" "1116" "YLR216C" "S000004206" "ORF"
"HTL1" "MATCH" "1" "HTL1" "S. cerevisiae" "High-Temperature Lethal" "237" "YCR020W-B" "S000006439" "ORF"
"RAI1" "MATCH" "1" "RAI1" "S. cerevisiae" "Rat1p Interacting Protein" "1164" "YGL246C" "S000003215" "ORF"
"SFP1" "MATCH" "1" "SFP1" "S. cerevisiae" "Split Finger Protein" "2052" "YLR403W" "S000004395" "ORF"
"GPG1" "MATCH" "1" "GPG1" "S. cerevisiae" "G Protein Gamma" "381" "YGL121C" "S000003089" "ORF"
"RCM1" "MATCH" "1" "RCM1" "S. cerevisiae" "" "1473" "YNL022C" "S000004967" "ORF"
"URA7" "MATCH" "1" "URA7" "S. cerevisiae" "URAcil requiring" "1740" "YBL039C" "S000000135" "ORF"
"RSC30" "MATCH" "1" "RSC30" "S. cerevisiae" "Remodel the Structure of Chromatin" "2652" "YHR056C" "S000001098" "ORF"
"IRE1" "MATCH" "1" "IRE1" "S. cerevisiae" "Inositol REquiring" "3348" "YHR079C" "S000001121" "ORF"
"RPN13" "MATCH" "1" "RPN13" "S. cerevisiae" "Regulatory Particle Non-ATPase" "471" "YLR421C" "S000004413" "ORF"
"YHL010C" "MATCH" "1" "ETP1" "S. cerevisiae" "Ethanol Tolerance Protein" "1758" "YHL010C" "S000001002" "ORF"
"ZAP1" "MATCH" "1" "ZAP1" "S. cerevisiae" "Zinc-responsive Activator Protein" "2643" "YJL056C" "S000003592" "ORF"
"LGE1" "MATCH" "1" "LGE1" "S. cerevisiae" "LarGE cells" "999" "YPL055C" "S000005976" "ORF"
"LEA1" "MATCH" "1" "LEA1" "S. cerevisiae" "Looks Exceptionally like U2A" "717" "YPL213W" "S000006134" "ORF"
"ADA2" "MATCH" "1" "ADA2" "S. cerevisiae" "transcriptional ADAptor" "1305" "YDR448W" "S000002856" "ORF"
"YPR153W" "MATCH" "1" "MAY24" "S. cerevisiae" "genetic interaction profile similarity to MTC Annotated Yeast genes MTC2 and MTC4" "557" "YPR153W" "S000006357" "ORF"
"FUS3" "MATCH" "1" "FUS3" "S. cerevisiae" "cell FUSion" "1062" "YBL016W" "S000000112" "ORF"
"PLC1" "MATCH" "1" "PLC1" "S. cerevisiae" "PhosphoLipase C" "2610" "YPL268W" "S000006189" "ORF"
"SEM1" "MATCH" "1" "SEM1" "S. cerevisiae" "Suppressor of Exocyst Mutations" "270" "YDR363W-A" "S000007235" "ORF"
"THP2" "MATCH" "1" "THP2" "S. cerevisiae" "THO2 - HPR1 Phenotype" "786" "YHR167W" "S000001210" "ORF"
"THP1" "MATCH" "1" "THP1" "S. cerevisiae" "Tho2/Hpr1 Phenotype" "1368" "YOL072W" "S000005433" "ORF"
"RGT1" "MATCH" "1" "RGT1" "S. cerevisiae" "Restores Glucose Transport" "3513" "YKL038W" "S000001521" "ORF"
"RGT2" "MATCH" "1" "RGT2" "S. cerevisiae" "Restores Glucose Transport" "2292" "YDL138W" "S000002297" "ORF"
"SKY1" "MATCH" "1" "SKY1" "S. cerevisiae" "SRPK1-like Kinase in Yeast" "2229" "YMR216C" "S000004829" "ORF"
"HPC2" "MATCH" "1" "HPC2" "S. cerevisiae" "Histone Periodic Control" "1962" "YBR215W" "S000000419" "ORF"
"PBP1" "MATCH" "1" "PBP1" "S. cerevisiae" "Pab1p-Binding Protein" "2169" "YGR178C" "S000003410" "ORF"
"UBA3" "MATCH" "1" "UBA3" "S. cerevisiae" "UBiquitin-like protein-Activating enzyme" "900" "YPR066W" "S000006270" "ORF"
"UTP30" "MATCH" "1" "UTP30" "S. cerevisiae" "U Three Protein" "825" "YKR060W" "S000001768" "ORF"
"HHT1" "MATCH" "1" "HHT1" "S. cerevisiae" "Histone H Three" "411" "YBR010W" "S000000214" "ORF"
"SAE2" "MATCH" "1" "SAE2" "S. cerevisiae" "Sporulation in the Absence of spo Eleven" "1038" "YGL175C" "S000003143" "ORF"
"SSK1" "MATCH" "1" "SSK1" "S. cerevisiae" "Suppressor of Sensor Kinase" "2139" "YLR006C" "S000003996" "ORF"
"MUS81" "MATCH" "1" "MUS81" "S. cerevisiae" "MMS and UV Sensitive" "1899" "YDR386W" "S000002794" "ORF"
"SSK2" "MATCH" "1" "SSK2" "S. cerevisiae" "Suppressor of Sensor Kinase" "4740" "YNR031C" "S000005314" "ORF"
"INP52" "MATCH" "1" "INP52" "S. cerevisiae" "INositol polyphosphate 5-Phosphatase" "3552" "YNL106C" "S000005050" "ORF"
"RPH1" "MATCH" "1" "RPH1" "S. cerevisiae" "Regulator of PHR1" "2391" "YER169W" "S000000971" "ORF"
"STM1" "MATCH" "1" "STM1" "S. cerevisiae" "Suppressor of ToM1" "822" "YLR150W" "S000004140" "ORF"
"DAT1" "MATCH" "1" "DAT1" "S. cerevisiae" "DATin" "747" "YML113W" "S000004581" "ORF"
"UBC8" "MATCH" "1" "UBC8" "S. cerevisiae" "UBiquitin-Conjugating" "780" "YEL012W" "S000000738" "ORF"
"BUD20" "MATCH" "1" "BUD20" "S. cerevisiae" "BUD site selection" "501" "YLR074C" "S000004064" "ORF"
"UBC7" "MATCH" "1" "UBC7" "S. cerevisiae" "UBiquitin-Conjugating enzyme" "498" "YMR022W" "S000004624" "ORF"
"UBC6" "MATCH" "1" "UBC6" "S. cerevisiae" "UBiquitin-Conjugating" "753" "YER100W" "S000000902" "ORF"
"URC2" "MATCH" "1" "URC2" "S. cerevisiae" "URacil Catabolism" "2319" "YDR520C" "S000002928" "ORF"
"RPA12" "MATCH" "1" "RPA12" "S. cerevisiae" "RNA Polymerase A" "378" "YJR063W" "S000003824" "ORF"
"CHD1" "MATCH" "1" "CHD1" "S. cerevisiae" "Chromatin organization modifier, Helicase, and DNA-binding domains" "4407" "YER164W" "S000000966" "ORF"
"LDB7" "MATCH" "1" "LDB7" "S. cerevisiae" "Low Dye Binding" "543" "YBL006C" "S000000102" "ORF"
"RPA14" "MATCH" "1" "RPA14" "S. cerevisiae" "RNA Polymerase A" "414" "YDR156W" "S000002563" "ORF"
"YPT6" "MATCH" "1" "YPT6" "S. cerevisiae" "Yeast Protein Two" "648" "YLR262C" "S000004252" "ORF"
"ELG1" "MATCH" "1" "ELG1" "S. cerevisiae" "Enhanced Level of Genomic instability" "2376" "YOR144C" "S000005670" "ORF"
"NUP60" "MATCH" "1" "NUP60" "S. cerevisiae" "NUclear Pore" "1620" "YAR002W" "S000000063" "ORF"
"YPT7" "MATCH" "1" "YPT7" "S. cerevisiae" "Yeast Protein Two" "627" "YML001W" "S000004460" "ORF"
"PBS2" "MATCH" "1" "PBS2" "S. cerevisiae" "Polymyxin B Sensitivity" "2007" "YJL128C" "S000003664" "ORF"
"DID4" "MATCH" "1" "DID4" "S. cerevisiae" "Doa4-Independent Degradation" "767" "YKL002W" "S000001485" "ORF"
"RCO1" "MATCH" "1" "RCO1" "S. cerevisiae" "" "2055" "YMR075W" "S000004680" "ORF"
"RPS21A" "MATCH" "1" "RPS21A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "586" "YKR057W" "S000001765" "ORF"
"SNT309" "MATCH" "1" "SNT309" "S. cerevisiae" "Synthetic lethal to prp NineTeen mutation" "528" "YPR101W" "S000006305" "ORF"
"YDR266C" "MATCH" "1" "HEL2" "S. cerevisiae" "Histone E3 Ligase" "1920" "YDR266C" "S000002674" "ORF"
"BUD22" "MATCH" "1" "BUD22" "S. cerevisiae" "BUD site selection" "1560" "YMR014W" "S000004616" "ORF"
"BUD21" "MATCH" "1" "BUD21" "S. cerevisiae" "BUD site selection" "645" "YOR078W" "S000005604" "ORF"
"STE11" "MATCH" "1" "STE11" "S. cerevisiae" "STErile" "2154" "YLR362W" "S000004354" "ORF"
"STE12" "MATCH" "1" "STE12" "S. cerevisiae" "STErile" "2067" "YHR084W" "S000001126" "ORF"
"STE14" "MATCH" "1" "STE14" "S. cerevisiae" "STErile" "720" "YDR410C" "S000002818" "ORF"
"KIN3" "MATCH" "1" "KIN3" "S. cerevisiae" "protein KINase" "1308" "YAR018C" "S000000071" "ORF"
"MIH1" "MATCH" "1" "MIH1" "S. cerevisiae" "Mitotic Inducer Homolog" "1665" "YMR036C" "S000004639" "ORF"
"GCN5" "MATCH" "1" "GCN5" "S. cerevisiae" "General Control Nonderepressible" "1320" "YGR252W" "S000003484" "ORF"
"GCN4" "MATCH" "1" "GCN4" "S. cerevisiae" "General Control Nonderepressible" "846" "YEL009C" "S000000735" "ORF"
"NUP133" "MATCH" "1" "NUP133" "S. cerevisiae" "NUclear Pore" "3474" "YKR082W" "S000001790" "ORF"
"SWR1" "MATCH" "1" "SWR1" "S. cerevisiae" "SWi2/snf2-Related" "4545" "YDR334W" "S000002742" "ORF"
"MOT3" "MATCH" "1" "MOT3" "S. cerevisiae" "Modifier of Transcription" "1473" "YMR070W" "S000004674" "ORF"
"PEX2" "MATCH" "1" "PEX2" "S. cerevisiae" "PEroXin" "816" "YJL210W" "S000003746" "ORF"
"EST1" "MATCH" "1" "EST1" "S. cerevisiae" "Ever Shorter Telomeres" "2100" "YLR233C" "S000004223" "ORF"
"IXR1" "MATCH" "1" "IXR1" "S. cerevisiae" "Intrastrand cross (X)-link Recognition" "1794" "YKL032C" "S000001515" "ORF"
"MFB1" "MATCH" "1" "MFB1" "S. cerevisiae" "Mitochondria-associated F-Box protein" "1398" "YDR219C" "S000002627" "ORF"
"EST3" "MATCH" "1" "EST3" "S. cerevisiae" "Ever Shorter Telomeres" "547" "YIL009C-A" "S000006432" "ORF"
"CAF130" "MATCH" "1" "CAF130" "S. cerevisiae" "CCR4 Associated Factor" "3369" "YGR134W" "S000003366" "ORF"
"TEL1" "MATCH" "1" "TEL1" "S. cerevisiae" "TELomere maintenance" "8364" "YBL088C" "S000000184" "ORF"
"THR4" "MATCH" "1" "THR4" "S. cerevisiae" "THReonine requiring" "1545" "YCR053W" "S000000649" "ORF"
"ELF1" "MATCH" "1" "ELF1" "S. cerevisiae" "ELongation Factor" "438" "YKL160W" "S000001643" "ORF"
"GPH1" "MATCH" "1" "GPH1" "S. cerevisiae" "Glycogen PHosphorylase" "2709" "YPR160W" "S000006364" "ORF"
"SGS1" "MATCH" "1" "SGS1" "S. cerevisiae" "Slow Growth Suppressor" "4344" "YMR190C" "S000004802" "ORF"
"PEX4" "MATCH" "1" "PEX4" "S. cerevisiae" "PEroXin" "552" "YGR133W" "S000003365" "ORF"
"THR1" "MATCH" "1" "THR1" "S. cerevisiae" "THReonine requiring" "1074" "YHR025W" "S000001067" "ORF"
"PAP2" "MATCH" "1" "PAP2" "S. cerevisiae" "Poly(A) Polymerase" "1755" "YOL115W" "S000005475" "ORF"
"PEX5" "MATCH" "1" "PEX5" "S. cerevisiae" "PEroXin" "1839" "YDR244W" "S000002652" "ORF"
"UBC4" "MATCH" "1" "UBC4" "S. cerevisiae" "UBiquitin-Conjugating" "542" "YBR082C" "S000000286" "ORF"
"NPT1" "MATCH" "1" "NPT1" "S. cerevisiae" "Nicotinate PhosphoribosylTransferase" "1290" "YOR209C" "S000005735" "ORF"
"EBS1" "MATCH" "1" "EBS1" "S. cerevisiae" "Est1-like Bcy1 Suppressor" "2655" "YDR206W" "S000002614" "ORF"
"YNR004W" "MATCH" "1" "SWM2" "S. cerevisiae" "Synthetic With mud2-delta" "441" "YNR004W" "S000005287" "ORF"
"YMR293C" "MATCH" "1" "HER2" "S. cerevisiae" "Hmg2p ER Remodeling" "1395" "YMR293C" "S000004907" "ORF"
"SSM4" "MATCH" "1" "SSM4" "S. cerevisiae" "Suppressor of mrna Stability Mutant" "3960" "YIL030C" "S000001292" "ORF"
"NOT3" "MATCH" "1" "NOT3" "S. cerevisiae" "Negative On TATA" "2511" "YIL038C" "S000001300" "ORF"
"MMS4" "MATCH" "1" "MMS4" "S. cerevisiae" "Methyl MethaneSulfonate sensitivity" "2076" "YBR098W" "S000000302" "ORF"
"RTR1" "MATCH" "1" "RTR1" "S. cerevisiae" "Regulator of TRanscription" "681" "YER139C" "S000000941" "ORF"
"LCB5" "MATCH" "1" "LCB5" "S. cerevisiae" "Long-Chain Base" "2064" "YLR260W" "S000004250" "ORF"
"NUP120" "MATCH" "1" "NUP120" "S. cerevisiae" "NUclear Pore" "3114" "YKL057C" "S000001540" "ORF"
"PIB2" "MATCH" "1" "PIB2" "S. cerevisiae" "PtdIns(3)p-Binding" "1908" "YGL023C" "S000002991" "ORF"
"URE2" "MATCH" "1" "URE2" "S. cerevisiae" "UREidosuccinate transport" "1065" "YNL229C" "S000005173" "ORF"
"HUR1" "MATCH" "1" "HUR1" "S. cerevisiae" "HydroxyUrea Resistance" "333" "YGL168W" "S000003136" "ORF"
"CLN3" "MATCH" "1" "CLN3" "S. cerevisiae" "CycLiN" "1743" "YAL040C" "S000000038" "ORF"
"CLN2" "MATCH" "1" "CLN2" "S. cerevisiae" "CycLiN" "1638" "YPL256C" "S000006177" "ORF"
"BIK1" "MATCH" "1" "BIK1" "S. cerevisiae" "BIlateral Karyogamy defect" "1323" "YCL029C" "S000000534" "ORF"
"SER2" "MATCH" "1" "SER2" "S. cerevisiae" "SERine requiring" "930" "YGR208W" "S000003440" "ORF"
"IOC3" "MATCH" "1" "IOC3" "S. cerevisiae" "Iswi One Complex" "2364" "YFR013W" "S000001909" "ORF"
"IOC4" "MATCH" "1" "IOC4" "S. cerevisiae" "Iswi One Complex" "1428" "YMR044W" "S000004647" "ORF"
"RAM1" "MATCH" "1" "RAM1" "S. cerevisiae" "RAS protein and A-factor Maturation" "1296" "YDL090C" "S000002248" "ORF"
"TGS1" "MATCH" "1" "TGS1" "S. cerevisiae" "TrimethylGuanosine Synthase" "948" "YPL157W" "S000006078" "ORF"
"IRC25" "MATCH" "1" "IRC25" "S. cerevisiae" "Increased Recombination Centers" "540" "YLR021W" "S000004011" "ORF"
"IOC2" "MATCH" "1" "IOC2" "S. cerevisiae" "Iswi One Complex" "2439" "YLR095C" "S000004085" "ORF"
"UAF30" "MATCH" "1" "UAF30" "S. cerevisiae" "Upstream Activation Factor subunit" "687" "YOR295W" "S000005821" "ORF"
"SCP160" "MATCH" "1" "SCP160" "S. cerevisiae" "S. cerevisiae protein involved in the Control of Ploidy" "3669" "YJL080C" "S000003616" "ORF"
"GCR2" "MATCH" "1" "GCR2" "S. cerevisiae" "GlyColysis Regulation" "1605" "YNL199C" "S000005143" "ORF"
"RRM3" "MATCH" "1" "RRM3" "S. cerevisiae" "rDNA Recombination Mutation" "2172" "YHR031C" "S000001073" "ORF"
"CAF40" "MATCH" "1" "CAF40" "S. cerevisiae" "CCR4 Associated Factor" "1122" "YNL288W" "S000005232" "ORF"
"GTR1" "MATCH" "1" "GTR1" "S. cerevisiae" "GTp binding protein Resemblance" "933" "YML121W" "S000004590" "ORF"
"MUB1" "MATCH" "1" "MUB1" "S. cerevisiae" "MUlti Budding" "1863" "YMR100W" "S000004706" "ORF"
"MMS1" "MATCH" "1" "MMS1" "S. cerevisiae" "Methyl MethaneSulfonate sensitivity" "4224" "YPR164W" "S000006368" "ORF"
"BUD13" "MATCH" "1" "BUD13" "S. cerevisiae" "BUD site selection" "801" "YGL174W" "S000003142" "ORF"
"STE20" "MATCH" "1" "STE20" "S. cerevisiae" "STErile" "2820" "YHL007C" "S000000999" "ORF"
"UBP14" "OTHER" "1" "UBP14" "S. cerevisiae" "UBiquitin-specific Protease" "2346" "YBR058C" "S000000262" "ORF"
"ASE1" "OTHER" "1" "ASE1" "S. cerevisiae" "Anaphase Spindle Elongation" "2658" "YOR058C" "S000005584" "ORF"
"LEA1" "OTHER" "1" "LEA1" "S. cerevisiae" "Looks Exceptionally like U2A" "717" "YPL213W" "S000006134" "ORF"
"SPT7" "OTHER" "1" "SPT7" "S. cerevisiae" "SuPpressor of Ty's" "3999" "YBR081C" "S000000285" "ORF"
"PPZ1" "OTHER" "1" "PPZ1" "S. cerevisiae" "Protein Phosphatase Z" "2079" "YML016C" "S000004478" "ORF"
"MIG1" "OTHER" "1" "MIG1" "S. cerevisiae" "Multicopy Inhibitor of GAL gene expression" "1515" "YGL035C" "S000003003" "ORF"
"BAS1" "OTHER" "1" "BAS1" "S. cerevisiae" "BASal" "2436" "YKR099W" "S000001807" "ORF"
"DST1" "OTHER" "1" "DST1" "S. cerevisiae" "DNA Strand Transfer" "930" "YGL043W" "S000003011" "ORF"
"DBP3" "OTHER" "1" "DBP3" "S. cerevisiae" "Dead Box Protein" "1572" "YGL078C" "S000003046" "ORF"
"ITC1" "OTHER" "1" "ITC1" "S. cerevisiae" "Imitation switch Two Complex" "3795" "YGL133W" "S000003101" "ORF"
"RCO1" "OTHER" "1" "RCO1" "S. cerevisiae" "" "2055" "YMR075W" "S000004680" "ORF"
"CAF130" "OTHER" "1" "CAF130" "S. cerevisiae" "CCR4 Associated Factor" "3369" "YGR134W" "S000003366" "ORF"
"RAD27" "OTHER" "1" "RAD27" "S. cerevisiae" "RADiation sensitive" "1149" "YKL113C" "S000001596" "ORF"
"RAD52" "OTHER" "1" "RAD52" "S. cerevisiae" "RADiation sensitive" "1416" "YML032C" "S000004494" "ORF"
